,make,id,model,year,fuelType,evMotor,co2_per_km,cityE_100km,comb08_per_km,combE_per_km,highway08_per_lkm,highwayE_per_km,UCity_per_lkm,UHighway_per_lkm,co2_km,model_full
0,Jeep,39861,Cherokee FWD,2019,Midgrade,filled,240.47124908347521,0.0,9.77830540946909,0.0,12.329167690200157,0.0,10.586078465033927,17.429234191179813,240.47124908347521,Jeep Cherokee FWD
1,Jeep,39862,Cherokee 4WD,2019,Midgrade,filled,248.5490946599227,0.0,9.353161696013911,0.0,11.4788802632898,0.0,10.288477865615302,16.495576082060897,248.5490946599227,Jeep Cherokee 4WD
2,Jeep,39863,Cherokee 4WD Active Drive II,2019,Midgrade,filled,258.4910584463196,0.0,8.928017982558734,0.0,11.053736549834623,0.0,9.820819780814608,15.750851839201463,258.4910584463196,Jeep Cherokee 4WD Active Drive II
3,Jeep,39864,Cherokee Trailhawk 4WD,2019,Midgrade,filled,268.4330222327165,0.0,8.928017982558734,0.0,10.203449122924267,0.0,9.735620980638188,14.75248685689467,268.4330222327165,Jeep Cherokee Trailhawk 4WD
4,Chevrolet,39872,Corvette,2019,Premium,filled,288.93832254216017,0.0,8.077730555648378,0.0,10.628592836379445,0.0,8.514353149366846,15.075681107863296,288.93832254216017,Chevrolet Corvette
5,Chevrolet,39873,Corvette,2019,Premium,filled,304.4726409584053,0.0,7.6525868421932,0.0,10.628592836379445,0.0,7.802790116156915,14.903327846428567,304.4726409584053,Chevrolet Corvette
6,Chevrolet,39874,Corvette Z06,2019,Premium,filled,330.5702958976972,0.0,7.227443128738022,0.0,9.77830540946909,0.0,7.142414386046987,12.584253918273264,330.5702958976972,Chevrolet Corvette Z06
7,Volkswagen,39875,Jetta,2019,Regular,filled,162.79965700224938,0.0,14.454886257476044,0.0,17.00574853820711,0.0,16.368032968024345,25.040964722509973,162.79965700224938,Volkswagen Jetta
8,Volkswagen,39876,Jetta,2019,Regular,filled,163.42102973889916,0.0,14.454886257476044,0.0,17.00574853820711,0.0,15.879075183179545,25.211022207892043,163.42102973889916,Volkswagen Jetta
9,Kia,39877,Sorento FWD,2019,Regular,filled,225.55830340387985,0.0,10.628592836379445,0.0,12.329167690200157,0.0,11.904023976744979,17.303349137625737,225.55830340387985,Kia Sorento FWD
10,Infiniti,39883,QX50,2019,Premium,filled,208.78123951433508,0.0,11.4788802632898,0.0,13.179455117110512,0.0,13.00939763172844,18.876380877409893,208.78123951433508,Infiniti QX50
11,Kia,39885,Sorento FWD,2019,Regular,filled,258.4910584463196,0.0,9.353161696013911,0.0,11.053736549834623,0.0,10.149243299458732,16.07051739734841,258.4910584463196,Kia Sorento FWD
12,Infiniti,39887,QX50 AWD,2019,Premium,filled,211.2667304609343,0.0,11.053736549834623,0.0,12.754311403655334,0.0,12.861957791902185,18.471516519086528,211.2667304609343,Infiniti QX50 AWD
13,Kia,39888,Sorento AWD,2019,Regular,filled,241.71399455677482,0.0,9.77830540946909,0.0,11.053736549834623,0.0,11.30882277790773,15.772831769187096,241.71399455677482,Kia Sorento AWD
14,Kia,39889,Sorento AWD,2019,Regular,filled,265.9475312861173,0.0,8.928017982558734,0.0,10.203449122924267,0.0,10.025568993214621,15.174612049984315,265.9475312861173,Kia Sorento AWD
15,Chevrolet,39890,Corvette Z06,2019,Premium,filled,318.14284116470105,0.0,7.227443128738022,0.0,9.353161696013911,0.0,7.779194640060152,13.087666589375537,318.14284116470105,Chevrolet Corvette Z06
16,Kia,39891,Sedona,2019,Regular,filled,271.53988591596556,0.0,8.928017982558734,0.0,10.203449122924267,0.0,9.861548548563613,14.935213624937706,271.53988591596556,Kia Sedona
